cnms,frequency,total_salecs
Developed Markets,8,23293.999
Power,5,23280.708
New York,79,23244.461
Refinish,13,23243.4
Other States,19,23152.353
Drug Store Chains,3,23136.0
North America Stores,6,22918.0
Transport,18,22904.926
Nordstrom Rack,5,22885.0
Beijing and Shanghai,7,22853.231
25 Customers,26,22804.839
Foodservice,20,22801.575
Small Commercial & Industrial,7,22774.306
Business to business,9,22638.699
Gulf Coast,11,22554.992000000002
U.S. federal government,19,22528.31
PT Smelting,11,22427.0
Greater China-South Asia,6,22312.0
Companion Animal - Dogs and Cats,10,22288.19
Direct-to-consumer,31,22272.972
AT&T Corp,140,22190.78
Asia (other than China and Japan),4,22180.400999999998
State Grid Shandong Electric Power Company,5,22108.57
Shell Trading (US) Company,64,22083.736
East China,5,21983.192000000003
Consumer electronics,19,21974.757
Residential - Electric Revenue,8,21946.0
Contracted Managed Care,15,21885.514
WALGREEN CO,4,21735.397
Outside U.S.,28,21536.7
Wastern Europe,2,21471.0
Residential -Energy,4,21466.612999999998
Outside of Spain,5,21407.9
Foreign Countries,27,21387.518
U. S. Department of Defense,1,21333.0
Southern Region,9,21202.045000000002
Service Provider,7,21172.3
Residential Customers,8,21148.966
GENENTECH INC,40,21122.318
Pacific,7,21094.128
U.S. residential,7,20985.0
Standard Chartered Plc,6,20949.0
TMT,13,20884.6
Industrial - Retail,48,20833.61
Commercial and Industrial-Retail,13,20577.0
Commercial insurance,13,20426.723
Retail - Industrial,64,20424.178
Medicare ESRD program,4,20306.8
Private Payors,8,20294.95
Managed care,3,20260.058
"Nordstrom U.S. full-line stores, Nordstrom.com, Ca",2,20242.0
Commercial Aircraft Structures,3,20033.64
15 Customers,54,19741.027
Commercial Aerospace,22,19681.593
24 Customers,36,19584.802
Local Power Companies,2,19525.0
Client Payers,9,19509.649
Residential RMI,5,19488.339
PERFORMANCE FOOD GROUP COMPANY,4,19443.83
Department of Defense & Intelligence Agencies,16,19412.766
Distributors and converters,3,19340.0
Financial services,37,19317.954
Direct customers,16,19293.057
"McLane Company, Inc.",26,19268.226
Sony Computer Entertainment Inc.,11,19199.73
UK Ministry of Defense,3,19154.356
Boehringer Ingelheim,7,19129.024
Automotive Electronics,17,19098.862
On-site,7,19069.9
Commercial payers,6,19034.437
Client Solutions,5,19033.0
McLane Company Inc.,9,18899.257
Residential-Retail Electric,6,18843.0
Retail electricity-Residential,6,18843.0
Wholesale Energy Marketing-Realized,5,18722.0
Commercial & Industrial,52,18720.951
Retail-Sales to End Users,16,18667.2
Other Governments,7,18661.296000000002
U.S. Army,27,18658.458
Travel and leisure,18,18565.874
20 Customers,74,18353.643
8 Customer,3,18221.989999999998
Euroland,2,18175.0
Vitol Inc.,14,18143.231
Business Transformation channel,10,18130.939
"Novation, LLC",6,18106.999
Thailand,22,18025.554
Branded retail,6,17933.89
"Washington, D.C.",12,17900.799
Korea Gas Corp,15,17745.78
Wholesale Electricity Markets,4,17740.37
Indonesia,4,17739.222
Outside U.S,35,17734.863
"HMOs, PPOs and Other Private Insurers",8,17584.778
EXPRESS SCRIPTS INC,15,17572.066
B2C,15,17449.007
North region,7,17223.07
"Brazil, Argentina, Mexico, Puerto Rico and Venezue",6,17213.677
Warehouse and reload,6,17148.212
Commercial -Energy,4,17104.501
OE Manufacturers - Truck & Bus products,10,17085.788
Denmark,10,17046.017
100 Customers,11,17008.192
Glencore International Plc,15,16901.608
North America - Enterprise Channel,5,16885.0
Original equipment manufacturers,7,16861.438000000002
Distributors & Converters,10,16801.731
China (Including Hong Kong and Taiwan),7,16784.735
Fiat/Chrysler Group,4,16765.0
"Americas (U.S., Canada and Latin America)",8,16704.133
"U.S., Canada and Latin America",8,16703.894
Mitsubishi Shokuhin Co Ltd,9,16641.456
Residential-Quebec,4,16605.523999999998
"Core-Mark Holding Company, Inc.",6,16581.89
Department of War (DoW),1,16575.0
Middle East/Asia,3,16526.0
"FreedomRoads, LLC",13,16458.258
Greater China (including Asia Pacific),3,16432.0
Aerospace and Defense,22,16427.947
Mining,7,16331.355
Creative & Marketing Professionals,1,16303.0
"United Kingdom,France & Germany",3,16227.974
Great Britain,6,16222.87
E-Commerce,24,16212.759
Global Customers,9,16180.084
Commercial Communications,7,16124.0
Core Domestic,1,16037.725
Server,5,15950.550000000001
Retail e-Commerce Businesses,13,15884.787
Process and Analytical Instrumentation,10,15814.046
"Asia Pacific, Europe, Middle East and Africa",1,15792.0
Electric - Commercial,26,15790.5
Federal Medicare Programs,5,15781.548
Alaskaair.com,6,15704.54
Indirect,18,15685.551
Nordstrom full-line stores,2,15669.0
E-commerce,56,15562.704
U.S. P&C Primary Insurers,12,15521.465
"Janssen Biotech, Inc",44,15509.26
Insurance,40,15481.642
Industrial Electronics,30,15478.947
Communications Networks,6,15461.493999999999
Retail-Residential Sales,3,15446.0
Residential-Natural Gas,10,15423.0
Industrial - Electric,73,15396.349
Travel Agents,10,15362.923
Supermarkets,2,15361.0
Petroleum and Chemicals,9,15313.49
Pharmaceutical and Biopharmaceutical,7,15279.0
"Independent restaurants, small chains, and regiona",1,15264.171
1600 Customers,3,15263.439999999999
U.S. Federal Government and its Agencies,7,15256.944
Asia and Others,4,15246.938
Medicare program,3,15148.967
East,22,15123.773000000001
"United Kingdom, France, Russia and Germany",2,15103.498
Agricultural Products,3,15072.0
On-Airport Locations,4,15003.59
Iowa,199,14840.235
Transportation Service,15,14827.0
Outside Latin America,2,14824.353
49 Customers,21,14777.032000000001
