gvkey,sector
019526,60
019534,35
019581,25
019582,60
019600,35
019602,45
019649,25
019661,25
019744,25
019784,35
019800,60
019807,20
019845,35
019849,45
019851,60
019855,60
019858,20
019859,35
019877,45
019908,45
019910,45
019911,25
019912,35
019965,15
019966,60
019967,35
019988,35
019998,35
020010,35
020011,15
020020,20
020033,35
020040,35
020059,60
020067,25
020088,45
020090,45
020115,35
020126,20
020128,45
020129,45
020136,40
020147,10
020168,10
020179,10
020185,15
020196,25
020202,35
020204,25
020217,10
020228,35
020232,45
020233,35
020245,35
020259,10
020280,60
020298,10
020344,60
020412,40
020420,15
020423,25
020477,40
020496,20
020502,15
020513,10
020534,10
020537,10
020548,10
020554,35
020567,35
020643,35
020644,25
020645,35
020653,10
020659,35
020672,35
020692,45
020699,50
020747,10
020748,45
020756,35
020779,45
020798,35
020904,35
020943,35
020949,45
020959,60
020961,50
021002,45
021003,35
021004,35
021010,10
021012,35
021015,35
021016,35
021020,35
021040,45
021047,35
021118,35
021132,35
021138,45
021145,35
021150,35
021165,10
021186,35
021232,50
021237,10
021261,20
021352,35
021427,25
021431,10
021487,20
021496,20
021503,40
021515,20
021522,35
021524,35
021540,25
021595,40
021604,60
021626,20
021627,35
021630,60
021635,35
021652,10
021732,10
021744,35
021761,45
021776,35
021798,30
021808,25
021816,45
021834,10
021841,35
021845,25
021847,45
021867,60
021898,25
021901,35
022025,60
022037,35
022039,35
022053,10
022059,45
022124,60
022134,15
022165,40
022168,25
022178,45
022180,25
022205,25
022207,20
022229,35
022230,35
022260,35
022284,10
022318,40
022325,45
022362,20
022405,60
022439,40
022459,60
022583,20
022590,35
022604,35
022632,35
022653,25
022674,60
022697,35
022709,35
022731,20
022734,35
022797,20
022829,25
022861,60
022962,10
023002,10
023062,25
023077,50
023084,45
023092,35
023093,15
023109,35
023119,45
023147,60
023167,20
023195,20
023220,20
023224,20
023225,50
023226,45
023243,20
023249,45
023287,55
023291,35
023335,35
023339,35
023358,35
023363,40
023407,35
023423,45
023433,10
023464,35
023494,45
023537,10
023555,35
023556,60
023574,35
023577,25
023587,15
023698,40
023704,35
023714,35
023753,25
023767,45
023793,60
023809,25
023810,10
023812,35
023813,35
023818,35
023856,45
023864,10
023898,15
023943,45
023945,35
023978,15
023996,60
024021,35
024032,25
024040,35
024076,25
024084,35
024096,25
024099,25
024113,25
024131,10
024171,25
024176,35
024177,35
024204,50
024293,15
024302,35
024316,30
024318,40
024330,60
024344,35
024396,35
024405,45
024415,20
024426,25
024428,45
024436,45
024468,35
024481,50
024483,25
024506,35
024533,60
024554,UNKNOWN
024601,20
024610,45
024616,40
024625,10
024638,20
024678,40
024708,50
024710,35
024724,50
024731,60
024755,30
024782,35
024795,20
024800,45
024803,45
024810,10
024825,60
024843,35
024856,35
024861,25
024878,35
024888,35
024890,35
024893,30
024905,20
024912,45
024922,20
024937,45
024975,45
024990,30
024996,35
025021,25
025047,35
025056,25
025069,20
025095,35
025108,25
025110,35
025119,25
025157,45
025160,20
025166,45
025167,25
025180,20
025186,25
025234,25
025274,45
025279,35
025283,25
025320,45
025340,25
025349,35
025356,35
025357,25
025367,45
025396,35
025399,25
025424,30
025430,20
025434,25
025472,35
025495,55
025509,10
025527,25
025529,25
025536,30
025538,45
