srcdate,filing_date,supplier_gvkey,supplier_tic,customer_tic,customer_gvkey,salecs,total_sale,weight_wji,source
2010-12-31,2011-02-23,008457,PRETQ,FL,011584,7.664,464.691,0.016493,both
2010-12-31,2011-02-23,008457,PRETQ,GCO,005109,3.092,464.691,0.006654,both
2010-12-31,2011-02-23,008457,PRETQ,LUXTY,020196,3.767,464.691,0.008106,both
2010-12-31,2011-02-23,008457,PRETQ,SHLDQ,006307,5.583,464.691,0.012014,both
2010-12-31,2011-02-23,008457,PRETQ,SIG,015520,4.42,464.691,0.009512,both
2010-12-31,2011-02-23,008457,PRETQ,ZLC,011669,5.356,464.691,0.011526,both
2010-12-31,2011-02-24,008512,PDCE,DCP,165466,33.374,347.647,0.096,both
2010-12-31,2011-02-01,008530,PFE,CAH,002751,6779.1,67791.0,0.1,both
2010-12-31,2011-02-01,008530,PFE,MCK,007171,9490.74,67791.0,0.14,both
2010-12-31,2011-02-23,008542,WTRG,OHI,025633,44.468,726.072,0.061245,partner_only
2010-12-31,2011-03-30,008838,PDO.1,COP,008549,2.258,4.515,0.500111,both
2010-12-31,2011-03-02,008850,KWR,MT,065248,48.966,544.063,0.090001,partner_only
2010-12-31,2011-02-03,009063,AN,OHI,025633,249.22,12461.0,0.02,partner_only
2010-12-31,2011-03-31,009289,KIDBQ,TGT,003813,27.302,275.777,0.099,both
2010-12-31,,009693,JDOGQ,GXP,,2.104,2.443,0.861236,ours_only
2010-12-31,2011-02-09,009815,SON,PG,008762,412.412,4124.121,0.1,both
2010-12-31,2011-02-17,009835,PESXQ,APC.1,011923,,487.21,,partner_only
2010-12-31,2011-02-17,009835,PESXQ,ATPAQ,141982,,487.21,,partner_only
2010-12-31,2011-02-17,009835,PESXQ,EC,287882,86.236,487.21,0.177,both
2010-12-31,2011-02-17,009835,PESXQ,WLL,155393,43.362,487.21,0.089001,both
2010-12-31,,009860,SNT1,SCG,,92.0,548.0,0.167883,ours_only
2010-12-31,,009860,SNT1,SO,,62.0,548.0,0.113139,ours_only
2010-12-31,,009919,AEBI,BAESY,,65.156,480.736,0.135534,ours_only
2010-12-31,2011-03-03,010000,SMP,AAP,145977,,810.91,,partner_only
2010-12-31,2011-03-03,010000,SMP,ORLY,028180,,810.91,,partner_only
2010-12-31,2011-01-27,010016,SWK,HD,005680,622.454,8409.6,0.074017,both
2010-12-31,2011-02-17,010086,STC,EXAS,141277,243.0,1666.79,0.145789,partner_only
2010-12-31,2011-03-16,010195,SSUP,F,004839,239.6,719.5,0.333009,both
2010-12-31,2011-03-16,010195,SSUP,GM,005073,236.9,719.5,0.329256,partner_only
2010-12-31,,010215,SNKI,M,,21.232,132.702,0.159998,ours_only
2010-12-31,2011-03-31,010286,TIII,VZ,002136,9.81,54.498,0.180007,both
2010-12-31,,010386,TECU,ELUXY,,84.042,933.8,0.09,ours_only
2010-12-31,2011-03-14,010386,TECU,WHR,011465,94.314,933.8,0.101,both
