gvkey,conm,tic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001103,ACME PRECISION PRODUCTS INC,5848B,C,01,LU,28695,23564,1966-01-31,1988-07-13
001104,ACME UNITED CORP,ACU,P,01,LU,60038,370,1972-12-14,E
001106,ACRO ENERGY CORP,ACRQE,C,01,LU,10699,5193,1982-01-28,1986-10-31
001108,PRINCETON HOLDINGS INC,PRHD,C,01,LC,51510,20021,1970-11-11,1996-10-18
001109,ALUF HOLDINGS INC,AHIX,C,01,LC,85084,7338,1984-12-12,1985-12-26
001109,ALUF HOLDINGS INC,AHIX,C,01,LC,85084,7338,1986-09-22,2009-04-24
001111,ACTIVISION INC,ATVI.1,C,02,LC,10701,6060,1985-05-31,1991-03-28
001111,ACTIVISION INC,ATVI.1,C,02,LC,79678,12499,1993-10-22,2008-07-09
001111,ACTIVISION INC,ATVI.1,C,00X,LC,10701,6060,1983-06-09,1985-05-30
001112,ACTMEDIA INC,ACTM.,P,01,LU,10720,6611,1983-11-22,1989-07-31
001113,ACTON CORP  -OLD,ATN.1,C,01,LC,43967,20022,1966-11-22,1988-04-29
001114,ACUSHNET CO,ACSH,P,01,LC,10728,53,1972-12-14,1976-05-28
001115,ADAC LABORATORIES,ADAC.,P,01,LU,10752,58,1979-12-05,2000-12-29
001117,BK TECHNOLOGIES CORP,BKTI,P,02,LC,10779,65,1978-10-03,2003-05-07
001117,BK TECHNOLOGIES CORP,BKTI,P,02,LC,10779,65,2005-10-14,E
001118,ADAMS DRUG INC,ADG.1,P,01,LU,57306,25563,1972-12-20,1984-11-30
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,C,00X,LU,10065,20023,1982-01-01,1982-01-28
001119,ADAMS DIVERSIFIED EQUITY FD,ADX,P,01,LU,10065,20023,1982-01-29,E
001120,ADAMS-MILLIS CORP,ALL.2,P,01,LU,17224,22757,1962-01-31,1988-10-31
001120,ADAMS-MILLIS CORP,ALL.2,C,00X,LU,17224,22757,1950-01-01,1962-01-30
