gvkey,conm,tic,datadate,fyear,gsector,ggroup,gind,gsubind,naics,sic,naics2,naics3,sic2,sic4
021003,ZOSANO PHARMA CORP,ZSANQ,2021-12-31,2021,35,3510,351010,35101010,325412,2834,32,325,28,2834
021004,LANTHEUS HOLDINGS INC,LNTH,2025-12-31,2025,35,3510,351010,35101020,325413,2835,32,325,28,2835
021010,TRANSOCEAN PARTNERS LLC,RIGP,2015-12-31,2015,10,1010,101010,10101010,213111,1381,21,213,13,1381
021012,ATARA BIOTHERAPEUTICS INC,ATRA,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
021015,OCULAR THERAPEUTIX INC,OCUL,2025-12-31,2025,35,3520,352020,35202010,325414,2836,32,325,28,2836
021016,LOXO ONCOLOGY INC,LOXO,2017-12-31,2017,35,3520,352010,35201010,325414,2836,32,325,28,2836
021020,ADVERUM BIOTECHNOLOGIES,ADVM,2024-12-31,2024,35,3520,352010,35201010,325414,2836,32,325,28,2836
021040,SURGE COMPONENTS INC,SPRS,2025-11-30,2025,45,4520,452030,45203030,423690,5065,42,423,50,5065
021047,DIPLOMAT PHARMACY INC,DPLO,2018-12-31,2018,35,3510,351020,35102015,446110,5912,44,446,59,5912
021118,ACCELERATE DIAGNOSTICS INC,AXDXQ,2024-12-31,2024,35,3510,351010,35101010,325413,2835,32,325,28,2835
021132,FIBROCELL SCIENCE INC,FCSC,2018-12-31,2018,35,3520,352010,35201010,325414,2836,32,325,28,2836
021138,RIGHTSIDE GROUP LTD,NAME,2016-12-31,2016,45,4510,451010,45101010,519130,7370,51,519,73,7370
021145,OTONOMY INC,OTIC,2021-12-31,2021,35,3520,352020,35202010,325414,2836,32,325,28,2836
021150,ASTERIAS BIOTHERAPEUTICS INC,AST,2017-12-31,2017,35,3520,352010,35201010,325414,2836,32,325,28,2836
021165,INDEPENDENCE CONTRACT DRLLNG,ICDIQ,2023-12-31,2023,10,1010,101010,10101010,213111,1381,21,213,13,1381
021186,MEDICIS PHARMACEUT CP  -CL A,MRX.3,2011-12-31,2011,35,3520,352020,35202010,325412,2834,32,325,28,2834
021232,NTN BUZZTIME INC,NTN,2020-12-31,2020,50,5020,502020,50202010,519130,7370,51,519,73,7370
021237,TETRA TECHNOLOGIES INC/DE,TTI,2025-12-31,2025,10,1010,101010,10101020,213112,1389,21,213,13,1389
021261,VIRGIN AMERICA INC,VA,2015-12-31,2015,20,2030,203020,20302010,481111,4512,48,481,45,4512
021352,AVANOS MEDICAL INC,AVNS,2025-12-31,2025,35,3510,351010,35101020,339113,3842,33,339,38,3842
021427,CRAFTMADE INTERNATIONAL INC,CRFT,2011-06-30,2011,25,2520,252010,25201040,335121,3640,33,335,36,3640
021431,CALIFORNIA RESOURCES CORP,CRC,2025-12-31,2025,10,1010,101020,10102020,211120,1311,21,211,13,1311
021487,B/E AEROSPACE INC,BEAV,2016-12-31,2016,20,2010,201010,20101010,336360,2531,33,336,25,2531
021496,ORBITAL SCIENCES CORP,ORB,2013-12-31,2013,20,2010,201010,20101010,336414,3760,33,336,37,3760
021503,KEMPER CORP/DE,KMPR,2025-12-31,2025,40,4030,403010,40301040,524126,6331,52,524,63,6331
021515,UNIVAR SOLUTIONS INC,UNVR,2022-12-31,2022,20,2010,201070,20107010,424690,5160,42,424,51,5160
021522,VYNE THERAPEUTICS INC,VYNE,2025-12-31,2025,35,3520,352020,35202010,325412,2834,32,325,28,2834
021524,PROQR THERAPEUTICS NV,PRQR,2025-12-31,2025,35,3520,352010,35201010,325414,2836,32,325,28,2836
